Complete	Category	Game object	Event name	Trigger	Condition/Variant	Context	SFX desc	Variations	Loop	Stop event	VFX/Anim	UI response	Music	Code hook	Signal	Status	Priority	Notes
TRUE	Items	Item	item_despawned	An item reaches the end of its lifetime and is freed	The blink tween finishes	The item is gone. The warning blink already told the player it was coming, so this is a confirmation rather than news - and it is what keeps the pile from growing without bound.	Soft poof, or silence if the blink warning already carries it	1	FALSE		Existing: the node is freed and disappears	Clears from a hotbar slot if it was parked in one		items/item.gd:_blink_then_despawn	Item.tree_exiting	implemented	P2	Can happen while the item is being dragged or is sitting in a hotbar slot - a slot preserves the item, not its lifetime.
TRUE	Items	Item	item_junk_useless	Junk is dropped on a gladiator	ItemDef.Type.JUNK - no effect and no equipment	The player fed the gladiator a piece of rubbish. Junk is the filler that makes the pile something to sift through, so being told plainly that this piece does nothing is part of teaching the item mix.	Flat comedic nothing-sound	1	FALSE		Existing: no outline highlight while hovering, since can_use_on is false	Nothing happens; the item stays in the world		items/item.gd:can_use_on	GlobalSignalBus.item_drop_rejected(item, unit)	implemented	P2	Junk is drawn as the plain grey placeholder square and carries no texture.
TRUE	Hotbar	UI	hotbar_slot_filled	A released item is claimed by a hotbar slot	The cursor or the item overlaps an empty slot's rect on release	The player banks an item for later. It snaps upright into the slot and freezes there, ready for a number key. Needs a positive, definite click so the player knows it was caught rather than dropped on the floor.	Crisp slot-click with a little heft	2	FALSE		Existing: item freezes upright at the slot's world position	The item renders inside the slot square		items/hotbar/hotbar_slot.gd:place	GlobalSignalBus.hotbar_slot_filled(slot_number, item)	implemented	P0	The item stays a live RigidBody2D in the world behind the UI layer; its despawn countdown keeps running.
TRUE	Hotbar	UI	hotbar_slot_replaced	An item is placed into a slot that already held one	The previous occupant is destroyed outright	The player overwrites a stored item and the old one is gone for good - replaced, not swapped back into the pile. That is a real loss and should sound different from filling an empty slot.	Slot click with a discard element underneath	1	FALSE		Existing: the old item is freed and vanishes	The slot's contents change		items/hotbar/hotbar_slot.gd:place	GlobalSignalBus.hotbar_slot_replaced(slot_number, item)	implemented	P1	The displaced item is queue_free'd, not returned to the pile - unlike an equipment swap.
TRUE	Hotbar	UI	hotbar_item_removed	A slotted item leaves its slot	Dragged out, consumed, or despawned in place	The slot empties. Three different causes funnel here, so this is a neutral empty-out rather than a reaction - the grab and consume rows carry the flavour.	Soft slot-empty tick	1	FALSE		Existing: item unfreezes and rejoins the pile, or is freed	Slot shows empty		items/hotbar/hotbar_slot.gd:_on_item_left	GlobalSignalBus.hotbar_item_removed(slot_number)	implemented	P2	Both exit routes are wired to the same handler - do not also play the grab sound here or it doubles.
TRUE	Hotbar	Hero Gladiator	hotbar_slot_used	The player presses a hotbar number key with an item stored	hotbar_1 through hotbar_4, hero alive, slot occupied	The player spends a banked item on their gladiator without dragging anything. This is the fast path in a tense moment - the health bar is low and they are hitting a key - so it needs instant confirmation.	Key-activate click; the consume sound follows immediately	1	FALSE		Existing: the item is consumed and freed	Slot empties and the relevant bar rises		items/hotbar/hotbar.gd:_use_slot	GlobalSignalBus.hotbar_slot_used(slot_number)	implemented	P0	Layers with item_consumed_meat or _potion on the same frame - keep this one short.
TRUE	Hotbar	UI	hotbar_slot_empty_pressed	The player presses a number key for an empty slot	Slot is empty	The player reached for something that is not there. Under pressure they will mash these keys, so telling them the slot is empty is more useful than silence - but it must stay quiet enough to survive being spammed.	Very short dull reject	1	FALSE		Wanted: the empty slot could flash	Nothing happens today		items/hotbar/hotbar.gd:_use_slot	GlobalSignalBus.hotbar_use_failed(EMPTY_SLOT)	implemented	P1	Currently a silent no-op via HotbarSlot.use_on's is_empty() guard.
TRUE	Hotbar	UI	hotbar_use_blocked_dead_hero	The player presses a hotbar key after their gladiator has died	hero is null or not alive	The match is already lost and the player is still hitting keys. Should read as unmistakably over - not the same reject as an empty slot, because no slot would work now.	Flat dead reject, lower than the empty-slot cue	1	FALSE		—	Nothing happens today		items/hotbar/hotbar.gd:_use_slot	GlobalSignalBus.hotbar_use_failed(HERO_DEAD)	implemented	P2	Guarded at the top of _use_slot before any slot is consulted.
TRUE	UI	UI	ui_button_hovered	The cursor moves over a menu button	Any focusable menu button	Standard menu navigation feedback. Applies across the title screen, options and pause menu, so it must be inoffensive at high repetition.	Light navigate tick	1	FALSE		Existing: theme hover state	Button highlights		common/ui/main_menu/SFX/main_menu_audio.gd:_on_hover	GlobalSignalBus.ui_button_hovered	implemented	P1	Asset exists: common/audio/sfx/ui/aud_ui_navigate.wav
TRUE	UI	UI	ui_button_pressed	The player clicks a menu button	Any menu button, including the battle restart button	The universal confirm. Every menu action and the restart button route through here, so it is the most-heard sound in the game outside combat.	Standard UI confirm click	1	FALSE		Existing: theme pressed state	The button's action runs		prototypes/battle_end_overlay.gd:_on_restart_pressed	GlobalSignalBus.ui_button_pressed	implemented	P1	Asset exists: common/audio/sfx/ui/UI_CLICK.wav. Note this same file is currently misused as the combat HIT_SOUND in auto_battle_prototype.gd - replacing that is the first job once combat SFX land.
TRUE	UI	UI	ui_menu_opened	A menu panel opens	Options opened from the title or pause menu	A panel slides in over whatever was there. Paired with the close cue so the menu feels like it has depth rather than just swapping screens.	Panel open whoosh	1	FALSE		Existing: panel visibility swap	MainPanel hides, OptionsMenu shows		common/ui/main_menu/SFX/main_menu_audio.gd:_on_open	—	implemented	P2	Asset exists: common/audio/sfx/ui/aud_ui_open.wav
TRUE	UI	UI	ui_menu_closed	A menu panel closes	Back pressed from the options menu	The reverse of the open cue - the player is stepping back out to where they were.	Panel close whoosh	1	FALSE		Existing: panel visibility swap	OptionsMenu hides, MainPanel shows		common/ui/main_menu/SFX/main_menu_audio.gd:_on_close	—	implemented	P2	Asset exists: common/audio/sfx/ui/aud_ui_close.wav
TRUE	UI	System	ui_game_paused	The player pauses mid-match	The pause action is pressed while unpaused	The arena freezes. The fight stops dead mid-swing and the pause panel appears, so the audio needs to clearly mark the world going quiet - ideally the ambient bed and music duck here too.	Pause thunk with a filter sweep on everything else	1	FALSE		Existing: the whole tree pauses; the pause panel becomes visible	Pause menu shows	Duck or pause the battle music	common/ui/pause_menu/pause_menu.gd:pause	GlobalSignalBus.game_paused	implemented	P1	Asset exists: common/audio/sfx/ui/aud_ui_pause.wav. Zero-argument signal, so SoundEffectConnector can wire it as pure scene data.
TRUE	UI	System	ui_game_unpaused	The player resumes the match	Pause toggled off, or Continue pressed	The fight snaps back to life from exactly where it froze. Should feel like a release of held breath, and must restore whatever the pause ducked.	Release thunk, filter sweep back open	1	FALSE		Existing: tree unpauses, panel hides	Pause menu hides	Restore the battle music	common/ui/pause_menu/pause_menu.gd:unpause	GlobalSignalBus.game_unpaused	implemented	P1	Asset exists: common/audio/sfx/ui/aud_ui_unpause.wav. Emitted from both pause() and unpause().
TRUE	UI	UI	ui_slider_changed	The player drags a volume slider	Any of the five bus sliders in the options menu	The player is setting volumes and needs to hear the result. The tick has to play on the bus being adjusted or it tells them nothing about that bus.	Short neutral tick	1	FALSE		Existing: slider moves	Bus volume applied and written to the settings file		common/ui/options_menu/options_menu.gd:on_audio_slider_changed	—	implemented	P1	Routing matters: main_menu_audio.gd currently plays this on the UI player regardless of which bus was moved.
TRUE	UI	UI	ui_window_mode_toggled	The player switches between windowed and fullscreen	The window button is pressed	The window resizes under the player. A confirmation is useful because the visual change is dramatic enough to be disorienting.	Standard UI confirm click	1	FALSE		Existing: the OS window mode changes	Button label updates		common/ui/options_menu/options_menu.gd:on_window_button_pressed	—	implemented	P2	Written back to user://settings.tres immediately.
TRUE	UI	System	ui_scene_transition_started	A fade-out begins before a scene change	change_scene_with_transition is called	The screen fades to black on the way somewhere else. Covers title-to-match, match-to-menu and credits, and is the natural place to fade the outgoing music.	Low transition whoosh	1	FALSE		Existing: the transition scene plays its FadeOut animation	Screen fades out	Fade out the outgoing track	globals/scene_transition_manager.gd:_on_fade_out	SceneTransitionManager.faded_out	implemented	P1	Zero-argument signal on the SceneTransitionManager autoload, not on GlobalSignalBus.
TRUE	UI	System	ui_scene_transition_finished	The fade-in completes on the new scene	The FadeIn animation ends and the transition frees itself	The new scene is revealed and playable. This is where the incoming music and ambience should be up to full.	Transition tail	1	FALSE		Existing: the transition instance frees itself	Screen fades in	Bring the incoming track up	globals/scene_transition_manager.gd:_on_fade_in	SceneTransitionManager.faded_in	implemented	P1	Zero-argument signal on the SceneTransitionManager autoload.
TRUE	UI	System	ui_title_screen_started	The title screen becomes active	Emitted from the main menu's audio node on ready	First thing the player ever hears. Sets the tone for the whole game before they have seen a single swing.	Optional title sting over the music	1	FALSE		Existing: main menu shown	Main menu buttons available	music_title starts here	common/ui/main_menu/SFX/main_menu_audio.gd:_ready	GlobalSignalBus.title_screen_started	implemented	P1	Zero-argument signal - wirable through SoundEffectConnector with no code.
TRUE	UI	System	ui_credits_started	The credits screen is opened	Credits pressed on the main menu	The player is reading who made this. Wants its own music bed and no gameplay noise underneath.	None; the music carries it	0	FALSE		Existing: scene change with a fade	Credits screen shown	Its own track	common/ui/main_menu/main_menu.gd:_on_credits_pressed	GlobalSignalBus.credits_screen_started	implemented	P2	Zero-argument signal - wirable through SoundEffectConnector.
TRUE	UI	System	ui_quit	The player quits the game	Quit pressed on the title or pause menu; hidden on web builds	The application is about to close. Almost anything here is cut off by the process exiting, so treat it as optional.	Very short exit tone, if any	1	FALSE		Existing: the window closes	—		common/ui/main_menu/main_menu.gd:_on_quit_pressed	—	implemented	P2	get_tree().quit() returns immediately - a long sample will not finish.
TRUE	UI	UI	ui_damage_number_spawned	A floating damage number appears over a gladiator	Every unit_hurt emission	The number that drifts up off a struck fighter, including a 0 when armor ate the hit. Purely visual and already implemented - listed so the feedback catalogue is complete and so it is not accidentally given a sound of its own on top of the impact.	None; the hit rows own the audio	0	FALSE		Existing: DamageNumber drifts up 40px and fades over ~0.7s	The number itself		auto_battle_prototype.gd:_on_unit_hurt	GlobalSignalBus.unit_hurt	implemented	P2	This handler also currently plays UI_CLICK.wav as a placeholder hit sound - that call is what the combat hit rows replace.
FALSE	Ambience	Crowd	ambient_arena_bed_start	The arena crowd bed begins	On entering a battle scene	The colosseum is full and never silent. This bed runs under the entire match and is what makes the arena feel occupied - every other sound is mixed against it, so it must sit low and leave room.	Looping crowd murmur bed	1	TRUE	ambient_arena_bed_stop	—	—	Sits under the battle music	—	NEW: arena ambience start	planned	P0	common/audio/sfx/cheerwhitenoise.ogg already exists and can serve as this bed. Route through GSoundManager.SoundPlayerType.AMBIENT.
FALSE	Ambience	Crowd	ambient_arena_bed_stop	The arena crowd bed ends	On leaving the battle scene	The crowd falls away as the player exits to a menu. Purely the stop half of the pair.	Fade out rather than a hard cut	0	FALSE		—	—		—	NEW: arena ambience stop	planned	P0	Stop cue for ambient_arena_bed_start. GSoundManager.stop_sound(AMBIENT) already exists.
FALSE	Ambience	Crowd	crowd_cheer_hit	The crowd reacts to a solid blow	Damage above a threshold; rate-limited so it cannot fire every swing	The crowd surges at a big hit. This is what makes the arena feel alive and reactive rather than a looped murmur - but it must be gated, or a fast attack pattern turns it into constant noise.	Short crowd swell over the bed	3	FALSE		—	—		battle_unit.gd:take_damage	GlobalSignalBus.unit_hurt	planned	P1	Needs a damage threshold and a cooldown. A rogue-pattern unit can land several hits per second.
FALSE	Ambience	Crowd	crowd_gasp_hero_hurt	The crowd reacts to the hero taking a heavy hit	Hero side, large damage relative to remaining health	The crowd is on the player's side. A gasp when their fighter takes a bad one reinforces that the player has a stake in this, and doubles as a warning that health is getting dangerous.	Sharp intake, crowd-wide	2	FALSE		—	—		battle_unit.gd:_emit_hurt	GlobalSignalBus.hero_gladiator_hurt	planned	P2	hero_gladiator_hurt is a single-argument signal, so SoundEffectConnector can bind it directly - but the connector cannot apply a damage threshold.
FALSE	Ambience	Crowd	crowd_roar_victory	The crowd erupts when the hero wins	battle_ended(true)	The payoff moment. Should be the loudest thing in the game and should carry over the top of the victory stinger rather than competing with it.	Full crowd roar with a long tail	1	FALSE		—	Plays under the result panel	Over music_victory	auto_battle_prototype.gd:_on_unit_died	GlobalSignalBus.battle_ended	planned	P1	Should replace or heavily duck the ambient bed for its duration.
FALSE	Ambience	Crowd	crowd_boo_defeat	The crowd turns when the hero loses	battle_ended(false)	The crowd is not on the player's side any more. A jeer or a disappointed fall-away, deliberately the opposite shape to the victory roar.	Jeering or a deflating fall-away	1	FALSE		—	Plays under the result panel	Over music_defeat	auto_battle_prototype.gd:_on_unit_died	GlobalSignalBus.battle_ended	planned	P1	Same signal as the victory roar - the bool argument decides which.
FALSE	Ambience	Crowd	crowd_react_gear_broke	The crowd reacts to a gladiator's gear shattering	Any broken(slot, item_def)	The crowd notices the sword go. A reaction here makes gear breaking feel like an event in the arena rather than a private inventory change, and reinforces a moment the player must not miss.	Short surprised crowd reaction	2	FALSE		—	—		items/equipment/equipment_component.gd:_wear	EquipmentComponent.broken	planned	P2	Layer under the break sound, offset slightly so the break reads first.
FALSE	Ambience	Crowd	crowd_intensity_change	The crowd bed shifts intensity as the match swings	Driven by combined health, or by how close the fight is	The crowd gets louder as the fight gets closer. A continuous dynamic layer rather than an event, so the arena tracks the drama without anyone scripting it per match.	Cross-faded intensity layers over the base bed	3	TRUE	ambient_arena_bed_stop	—	—	Should move together with the music intensity	—	NEW: intensity driver	planned	P2	Design sketch exists at docs/design/audio-systems/dyn-music.excalidraw.json.
FALSE	Music	System	music_title	Title screen music starts	On entering the main menu	The game's front door. Loops indefinitely while the player sits on the menu or pokes at options.	—	1	TRUE	ui_scene_transition_started	—	—	common/audio/music/music_title_screen-loop.ogg	common/ui/main_menu/SFX/main_menu_audio.gd:_ready	GlobalSignalBus.title_screen_started	planned	P1	Track exists; nothing plays it today.
FALSE	Music	System	music_pre_match	Pre-fight music plays	During the match intro beat, before the fighting starts	The walk-out. Sets the arena up before the first swing, then hands off to the battle track.	—	1	TRUE	music_battle_intro	—	—	common/audio/music/Outside the Colosseum.ogg	—	NEW: match_intro_started	planned	P2	Depends on match_intro existing; today the fight starts on the first frame.
FALSE	Music	System	music_battle_intro	The battle track's intro section plays	At match start	The one-shot opening of the battle theme, which hands over to the loop when it ends. MusicPlayerLooper already implements exactly this intro-then-loop handoff.	—	1	FALSE		—	—	common/audio/music/I've Got Your Back! (Intro).ogg	globals/sound_manager/music_player_looper.gd:play_music	MusicPlayerLooper.intro_started	planned	P0	The looper exists and is unused in the battle scene. It hands over on a timer sized from the intro's own length.
FALSE	Music	System	music_battle_loop	The battle track's main loop takes over	When the intro section finishes	The bed the whole fight happens over. Everything else - hits, crowd, gear breaking - is mixed against this, so it must leave headroom in the mid-range.	—	1	TRUE	match_ended_hero_victory	—	—	common/audio/music/I've Got Your Back! (Main Loop).ogg	globals/sound_manager/music_player_looper.gd:_switch_stream_to_loop	MusicPlayerLooper.loop_started	planned	P0	Also stopped by match_ended_hero_defeat; only one stop event fits this column.
FALSE	Music	System	music_victory	Victory music plays	battle_ended(true)	Plays over the crowd roar and under the result panel. Should start the instant the enemy falls, not when the panel appears roughly a second later.	—	1	FALSE		—	Plays under the result panel	common/audio/music/Victorious.ogg	auto_battle_prototype.gd:_on_unit_died	GlobalSignalBus.battle_ended	planned	P0	Cut the battle loop first so the two do not overlap.
FALSE	Music	System	music_defeat	Defeat music plays	battle_ended(false)	The counterpart to the victory track, on the same timing. The player is watching their gladiator fall and about to be offered a restart.	—	1	FALSE		—	Plays under the result panel	common/audio/music/To Suffer a Loss (Game Over).ogg	auto_battle_prototype.gd:_on_unit_died	GlobalSignalBus.battle_ended	planned	P0	Same signal as victory - the bool argument decides which.
FALSE	Music	System	music_duck_for_stinger	The music ducks so a key moment can cut through	Gear breaking, a death, or any other stinger event	Not a sound of its own - a mixing behaviour. The battle loop drops a few dB for a moment so a shattering sword or a killing blow is unmistakable instead of buried.	—	0	FALSE		—	—	Applies to whichever track is playing	—	NEW: duck request	planned	P2	Implement as a bus-level ducking on the Music bus; the buses already exist in default_bus_layout.tres.
